params,games,time
10_0.5_0.25_1_[2]_proportional_averaging,539,2710.53613114357
10_0.5_0.75_1_[2]_proportional_averaging,101,71.89163827896118
10_0.25_0.5_1_[2]_proportional_averaging,875,2292.0706305503845
10_0.75_0.5_1_[2]_proportional_averaging,45,58.53807020187378
10_0.75_0.25_1_[2]_proportional_averaging,158,431.4399356842041
10_0.75_0.75_1_[2]_proportional_averaging,46,52.978060722351074
10_0.75_0.75_1_[2]_proportional_averaging,32,39.28366541862488
10_0.75_0.5_1_[2]_proportional_averaging,55,54.626030921936035
10_0.25_0.75_1_[2]_proportional_averaging,137,974.6665589809418
10_0.25_0.25_1_[2]_proportional_averaging,912,43821.484001874924
10_0.5_0.25_1_[2]_proportional_averaging,7,18.84138798713684
10_0.5_0.75_1_[2]_proportional_averaging,175,838.9416992664337
10_0.25_0.5_1_[2]_proportional_averaging,107,149.40360713005066
10_0.75_0.25_1_[2]_proportional_averaging,1000,1911.7518436908722
10_0.75_0.75_1_[2]_proportional_averaging,114,337.2047164440155
10_0.75_0.5_1_[2]_proportional_averaging,531,540.2278397083282
10_0.25_0.75_1_[2]_proportional_averaging,81,152.85574960708618
10_0.5_0.25_1_[2]_proportional_averaging,1000,5755.6797642707825
10_0.5_0.75_1_[2]_proportional_averaging,105,251.8543119430542
10_0.75_0.25_1_[2]_proportional_averaging,74,97.3732373714447
10_0.75_0.75_1_[2]_proportional_averaging,71,52.6568169593811
10_0.75_0.5_1_[2]_proportional_averaging,100,142.77296710014343
10_0.25_0.75_1_[2]_proportional_averaging,108,159.824364900589
10_0.5_0.25_1_[2]_proportional_averaging,228,378.2060935497284
10_0.5_0.75_1_[2]_proportional_averaging,166,336.70832109451294
10_0.75_0.25_1_[2]_proportional_averaging,15,24.444663286209106
10_0.75_0.75_1_[2]_proportional_averaging,44,53.110220432281494
10_0.75_0.5_1_[2]_proportional_averaging,292,971.2912476062775
10_0.25_0.75_1_[2]_proportional_averaging,38,64.9665298461914
10_0.5_0.25_1_[2]_proportional_averaging,108,143.67057132720947
10_0.5_0.75_1_[2]_proportional_averaging,141,236.04635000228882
10_0.75_0.25_1_[2]_proportional_averaging,824,4309.825377464294
10_0.75_0.75_1_[2]_proportional_averaging,184,251.6304440498352
10_0.75_0.5_1_[2]_proportional_averaging,98,119.82098054885864
10_0.25_0.75_1_[2]_proportional_averaging,122,254.24634289741516
10_0.5_0.25_1_[2]_proportional_averaging,259,164.7118935585022
10_0.5_0.75_1_[2]_proportional_averaging,124,283.74551916122437
10_0.5_0.5_1_[2]_proportional_averaging,231,223.2882900238037
10_0.5_0.5_1_[2]_proportional_averaging,82,21.651270389556885
10_0.5_0.5_1_[2]_proportional_averaging,140,105.88622760772705
10_0.5_0.5_1_[2]_proportional_averaging,86,24.339717149734497
10_0.5_0.5_1_[2]_proportional_averaging,42,18.892327070236206